,model,RMSE,R2 score,time,features
1,ElasticNet,20.42949497841069,0.646427283326352,0.4527890682220459,21
2,BayesianRidge,19.934530336707773,0.6633524178524148,0.022938966751098633,21
3,Lasso,20.10920460129091,0.6574268908018965,0.5285861492156982,21
4,Ridge,19.93283609120391,0.663409639106697,0.006984233856201172,21
5,KNN,17.227161719683586,0.7485851390423122,0.19946599006652832,21
6,rff,9.255933463790017,0.9274221779269025,23.610050916671753,21
7,etr,9.27294256785321,0.9271551885403587,6.104466199874878,21
0,OLS,20.408004711772822,0.6490277093297723,0.01492762565612793,22
1,ElasticNet,20.784133477881525,0.6359713340809021,0.44676947593688965,22
2,BayesianRidge,20.40147379725748,0.6492523077942434,0.026927947998046875,22
3,Lasso,20.490822194642725,0.6461733764756438,0.5166182518005371,22
4,Ridge,20.40784449454723,0.649033220068008,0.008975028991699219,22
5,KNN,17.469485054872926,0.7428231068178808,0.17253899574279785,22
6,rff,9.695254402060941,0.9207881498495477,23.21596908569336,22
7,etr,9.554006865579039,0.9230793693008098,6.052236557006836,22
0,OLS,19.919791687604004,0.6621295389758133,0.016954421997070312,23
1,ElasticNet,20.6692047489194,0.6362289159436899,0.47074103355407715,23
2,BayesianRidge,19.92648009552045,0.6619026094087396,0.018949508666992188,23
3,Lasso,20.26064329142882,0.6504678725300924,0.5694766044616699,23
4,Ridge,19.919877743001848,0.6621266197043465,0.009972572326660156,23
5,KNN,16.598804044692564,0.7653966358997921,0.2293870449066162,23
6,rff,9.586312183455776,0.9217501028586745,24.109272241592407,23
7,etr,9.564838191514925,0.9221002804020477,6.4589622020721436,23
0,OLS,20.16363672173078,0.6524263761608646,0.017919540405273438,24
1,ElasticNet,20.813928485508924,0.6296458638471396,0.5325751304626465,24
2,BayesianRidge,20.16875491311256,0.6522499026280097,0.03391003608703613,24
3,Lasso,20.45762711600874,0.6422170834602066,0.5724706649780273,24
4,Ridge,20.16371946943927,0.6524235234036644,0.012964963912963867,24
5,KNN,16.604469888590927,0.764300254778366,0.20245790481567383,24
6,rff,9.428382188107514,0.9240052762453592,23.95391011238098,24
7,etr,9.098438734621118,0.9292310367556722,6.940845012664795,24
0,OLS,19.610748911454905,0.6702077788323856,0.044881582260131836,25
1,ElasticNet,20.22392146719729,0.6492620254533015,0.6921474933624268,25
2,BayesianRidge,19.61325267467176,0.6701235623297448,0.01795220375061035,25
3,Lasso,19.919294590604686,0.6597485705729464,0.6362981796264648,25
4,Ridge,19.610763077121945,0.6702073023866867,0.009973764419555664,25
5,KNN,16.15032974185476,0.7763263437906381,0.24434638023376465,25
6,rff,9.746633150858878,0.9185368330494114,25.00641655921936,25
7,etr,9.533391488823197,0.9220624221326919,6.666809797286987,25
0,OLS,19.809433076086044,0.6665279460245905,0.02293705940246582,26
1,ElasticNet,20.382989654437015,0.6469378844134284,0.5818808078765869,26
2,BayesianRidge,19.81348658436999,0.6663914585211654,0.02094554901123047,26
3,Lasso,20.107996682882757,0.6564001536502947,0.46276187896728516,26
4,Ridge,19.809487958462334,0.666526098241867,0.00797891616821289,26
5,KNN,16.845294756464813,0.7588581544909928,0.22140836715698242,26
6,rff,9.718453739520369,0.9197380522743737,26.52909207344055,26
7,etr,9.499267384516699,0.9233176213915891,7.090367555618286,26
0,OLS,19.74732926330117,0.663976015320014,0.019919633865356445,27
1,ElasticNet,20.463818560766132,0.6391498455987136,0.5994927883148193,27
2,BayesianRidge,19.752126822675745,0.6638127232795248,0.019946813583374023,27
3,Lasso,20.155517902398504,0.6499408238994584,0.5724689960479736,27
4,Ridge,19.747392417359983,0.6639738660357093,0.007979393005371094,27
5,KNN,16.81601257032399,0.756331388240568,0.18051719665527344,27
6,rff,9.619347768491014,0.9202657718448801,26.45899748802185,27
7,etr,9.493824184829027,0.9223331105663437,6.998398780822754,27
0,OLS,20.0086440280633,0.6603532208910217,0.02091193199157715,28
1,ElasticNet,20.578976538261493,0.6407144680411825,0.6277990341186523,28
2,BayesianRidge,20.011195757644327,0.6602665841357267,0.024932861328125,28
3,Lasso,20.33587830531707,0.6491527688227487,0.5196101665496826,28
4,Ridge,20.008679842426027,0.6603520049921516,0.007978677749633789,28
5,KNN,16.390158696625793,0.7720925603855848,0.20345616340637207,28
6,rff,9.605940150831943,0.9217161929489555,27.128366947174072,28
7,etr,9.347169290196913,0.9258771001067454,6.924188852310181,28
0,OLS,19.547403328944437,0.6757017641339337,0.019947528839111328,29
1,ElasticNet,20.36301585354927,0.6480745805503405,0.6712040901184082,29
2,BayesianRidge,19.55193677130741,0.6755513239123636,0.026927471160888672,29
3,Lasso,20.1256182895197,0.6562324325643113,0.6362977027893066,29
4,Ridge,19.547468199120644,0.6756996116926852,0.013962030410766602,29
5,KNN,16.700541740780842,0.7632840310250167,0.19148826599121094,29
6,rff,9.24566283012289,0.9274491439271411,26.4234139919281,29
7,etr,8.813112555670694,0.9340788049962447,7.110998630523682,29
0,OLS,19.552201270976514,0.6771809824114738,0.031914472579956055,30
1,ElasticNet,20.087022163152156,0.6592789930413578,0.6771893501281738,30
2,BayesianRidge,19.546809022317028,0.6773590166242401,0.02393627166748047,30
3,Lasso,19.88373012819487,0.6661406733249355,0.7160835266113281,30
4,Ridge,19.55209513302125,0.6771844872094221,0.009972810745239258,30
5,KNN,16.199585657784958,0.7783970149026734,0.2812483310699463,30
6,rff,9.348809480938579,0.9261959130441084,27.669385194778442,30
7,etr,9.141710755244388,0.9294295730108106,7.231905221939087,30
0,OLS,20.165959765669534,0.6537943273818704,0.034906864166259766,31
1,ElasticNet,20.397436447702077,0.6458008096067235,0.6791560649871826,31
2,BayesianRidge,20.15924653981537,0.6540247919910083,0.03590536117553711,31
3,Lasso,20.29311276262132,0.6494146823704731,0.7011251449584961,31
4,Ridge,20.16575976640297,0.6538011944527219,0.016956329345703125,31
5,KNN,16.810721201426407,0.7594147054894926,0.2682807445526123,31
6,rff,9.53596777015136,0.9225848542187569,29.852895736694336,31
7,etr,9.26954969379403,0.9268501127789884,7.79923939704895,31
0,OLS,19.814929083464598,0.6637505545317568,0.02293705940246582,32
1,ElasticNet,20.34200876147084,0.6456240780274344,0.6941432952880859,32
2,BayesianRidge,19.813934983734665,0.6637842924368084,0.022938013076782227,32
3,Lasso,20.17395174942418,0.6514552964464635,0.898597002029419,32
4,Ridge,19.814878650631137,0.663752266169546,0.00797891616821289,32
5,KNN,16.68225442936135,0.7616659938073609,0.2154226303100586,32
6,rff,9.582189338112851,0.9213667858222915,31.66671371459961,32
7,etr,9.386013817195916,0.9245535324799853,8.482968807220459,32
0,OLS,19.815056925069204,0.668527761417349,0.024930953979492188,33
1,ElasticNet,20.57569470215654,0.6425909646836021,0.6791834831237793,33
2,BayesianRidge,19.818577359828577,0.6684099691691955,0.036910057067871094,33
3,Lasso,20.357837587353757,0.6501194478447354,0.628321647644043,33
4,Ridge,19.815102237841227,0.6685262454042272,0.018471956253051758,33
5,KNN,16.891638870980795,0.7591203626565447,0.20943975448608398,33
6,rff,9.601596024909828,0.9221706556473844,32.40616035461426,33
7,etr,9.319638976920762,0.9266745578044234,8.463600635528564,33
0,OLS,19.569427373022737,0.6751154465453741,0.027927160263061523,34
1,ElasticNet,20.31780103704118,0.6497918617768688,1.061161994934082,34
2,BayesianRidge,19.56424055943246,0.6752876429278012,0.026928186416625977,34
3,Lasso,20.0946864201529,0.6574410691278421,0.6023879051208496,34
4,Ridge,19.569139529597894,0.675125003819893,0.009973526000976562,34
5,KNN,16.62331039030683,0.7655728779392119,0.1934823989868164,34
6,rff,9.747746369508759,0.919391420324935,33.299667835235596,34
7,etr,9.425087026076929,0.9246395356748213,9.04864239692688,34
0,OLS,19.58778780246719,0.6760237106503368,0.02593088150024414,35
1,ElasticNet,20.25947711873811,0.6534236604665846,1.1679072380065918,35
2,BayesianRidge,19.59460430652678,0.6757981854434736,0.024933576583862305,35
3,Lasso,20.074720108782806,0.6597160672199356,0.6243319511413574,35
4,Ridge,19.58787591641397,0.6760207958858915,0.012961387634277344,35
5,KNN,16.455105082339553,0.7713644462591616,0.24434733390808105,35
6,rff,9.374987441464754,0.9257863426049803,34.850818395614624,35
7,etr,9.273045442178088,0.9273915406377106,9.521576642990112,35
0,OLS,20.0674168819276,0.6559588042828075,0.03490710258483887,36
1,ElasticNet,20.49465993204113,0.6411533174381769,1.5480153560638428,36
2,BayesianRidge,20.06727931622726,0.6559635211934184,0.03690171241760254,36
3,Lasso,20.361966147682793,0.645785019153871,1.498990774154663,36
4,Ridge,20.067368984869585,0.6559604466009535,0.011968851089477539,36
5,KNN,16.79491820030204,0.7590187301126186,0.3490567207336426,36
6,rff,9.718675510734846,0.9193059214310715,34.94216465950012,36
7,etr,9.558238904815632,0.9219481384630287,11.283527851104736,36
